vendor_id,vendor_name,vendor_type,annual_spend,risk_score,contract_start,contract_end,soc2,soc2_expiry,iso27001,iso27001_expiry,gdpr_dpa,breach_status,breach_date,under_investigation,access_type,data_sensitivity,current_access
VND-0001,Secure Systems 1,Data Analytics,484337,87,2026-04-29,2027-02-10,True,2027-07-03,True,2026-11-05,True,False,,True,SFTP,LOW,True
VND-0002,Titan Analytics 2,Payment Processing,382040,45,2025-01-27,2026-04-07,True,2027-07-05,True,2027-11-08,True,False,,False,Database,HIGH,True
VND-0003,Nova Labs 3,Software,363891,69,2025-01-01,2026-04-13,True,2027-02-09,True,2026-06-18,False,False,,False,SFTP,HIGH,True
VND-0004,Titan Services 4,Infrastructure,1014378,37,2025-12-26,2026-07-11,True,2027-08-23,False,,False,False,,False,Database,MEDIUM,True
VND-0005,Vertex Cloud 5,Data Analytics,121341,76,2026-04-14,2027-05-11,True,2026-06-02,False,,True,False,,False,Application,HIGH,True
VND-0006,Secure Partners 6,Software,1019500,63,2026-01-04,2027-02-11,False,,False,,False,False,,True,SFTP,LOW,True
VND-0007,Apex Solutions 7,Software,913179,58,2025-06-30,2026-02-06,False,,False,,False,False,,False,Application,MEDIUM,True
VND-0008,Apex Solutions 8,Cloud Services,482095,32,2025-10-21,2026-08-29,False,,True,2027-06-19,True,False,,False,Portal,MEDIUM,False
VND-0009,Prime Systems 9,Data Analytics,920211,79,2025-05-18,2025-11-18,True,2026-09-02,False,,True,False,,False,API,HIGH,False
VND-0010,Nova Analytics 10,Software,1190147,81,2024-12-09,2025-08-13,True,2027-01-14,False,,True,False,,False,Portal,LOW,True
VND-0011,Quantum Systems 11,Infrastructure,251422,36,2024-12-21,2025-09-04,True,2026-10-18,True,2027-08-14,False,False,,False,Application,LOW,True
VND-0012,Blue Cloud 12,Cloud Services,416369,60,2025-11-12,2026-11-15,True,2027-10-11,False,,True,False,,False,SFTP,MEDIUM,False
VND-0013,Nova Services 13,Cloud Services,749377,95,2025-12-17,2026-07-15,True,2026-10-04,False,,False,False,,False,Portal,LOW,True
VND-0014,Titan Systems 14,Cloud Services,1170691,29,2025-01-16,2025-10-09,True,2026-09-05,True,2025-12-15,False,True,2025-01-22,False,SFTP,HIGH,False
VND-0015,Quantum Analytics 15,Cloud Services,643172,80,2026-03-23,2026-07-27,False,,False,,True,True,2026-04-06,False,Database,LOW,True
VND-0016,Blue Analytics 16,Consulting,284119,56,2025-02-26,2025-12-06,True,2027-09-10,True,2025-12-14,True,False,,False,Portal,LOW,False
VND-0017,Prime Services 17,Software,1070920,62,2024-08-15,2025-05-07,False,,True,2027-05-23,False,False,,False,API,HIGH,False
VND-0018,Nova Analytics 18,Infrastructure,267469,81,2026-05-01,2026-12-27,False,,True,2027-08-22,True,False,,False,SFTP,MEDIUM,False
VND-0019,Nova Labs 19,Cloud Services,948545,66,2026-05-04,2026-12-02,True,2027-06-11,False,,True,False,,False,Application,LOW,False
VND-0020,Titan Solutions 20,Cloud Services,368539,86,2024-09-24,2025-08-24,True,2026-02-25,True,2026-11-05,True,False,,False,Application,MEDIUM,False
