vendor_id,vendor_name,vendor_type,risk_score,predicted_severity,prediction_confidence,severity_rank,priority_score,risk_drivers
VND-0196,Secure Partners 196,Software,95,CRITICAL,0.88,4,245.4,"Under Investigation, High Risk Score, Active Access After Contract Expiry, Missing SOC2, Expired Certifications, High Data Sensitivity"
VND-0030,Prime Systems 30,Infrastructure,95,CRITICAL,0.8425,4,244.275,"Under Investigation, High Risk Score, Expired Certifications"
VND-0327,Nova Cloud 327,Payment Processing,85,CRITICAL,0.9054311450609063,4,244.16293435182718,"Under Investigation, High Risk Score, Missing SOC2"
VND-0270,Vertex Cloud 270,Software,84,CRITICAL,0.905,4,243.95000000000002,"Under Investigation, High Risk Score, Active Access After Contract Expiry, Missing ISO27001, Expired Certifications, High Data Sensitivity"
VND-0298,Vertex Labs 298,Compliance,89,CRITICAL,0.8689253541890626,4,243.86776062567188,"Under Investigation, High Risk Score, Missing ISO27001"
VND-0383,Secure Networks 383,Consulting,93,CRITICAL,0.8414506943001437,4,243.8435208290043,"Under Investigation, High Risk Score"
VND-0081,Prime Labs 81,Cloud Services,92,CRITICAL,0.8444247467911657,4,243.732742403735,"Under Investigation, High Risk Score, Missing ISO27001, Expired Certifications"
VND-0341,Secure Solutions 341,Security,83,CRITICAL,0.8875,4,243.225,"Under Investigation, High Risk Score, Missing ISO27001, Expired Certifications, High Data Sensitivity"
VND-0223,Nova Labs 223,Compliance,89,CRITICAL,0.8369950738916256,4,242.9098522167488,"Under Investigation, High Risk Score, Missing ISO27001, Recent Breach"
VND-0232,Prime Cloud 232,Payment Processing,76,CRITICAL,0.9119667435835155,4,242.55900230750547,"Under Investigation, Missing ISO27001"
VND-0281,Secure Cloud 281,Infrastructure,87,CRITICAL,0.8125,4,241.775,"High Risk Score, Missing ISO27001, Recent Breach, High Data Sensitivity"
VND-0001,Secure Systems 1,Data Analytics,87,CRITICAL,0.8093120805369128,4,241.67936241610738,"Under Investigation, High Risk Score"
VND-0236,Blue Solutions 236,Security,73,CRITICAL,0.885,4,241.15,"Under Investigation, Expired Certifications"
VND-0183,Blue Services 183,Compliance,86,CRITICAL,0.78045,4,240.6135,"High Risk Score, Active Access After Contract Expiry, Missing ISO27001, Recent Breach, High Data Sensitivity"
VND-0068,Secure Systems 68,Payment Processing,75,CRITICAL,0.8375,4,240.125,"Under Investigation, Missing SOC2, Recent Breach"
VND-0108,Nova Systems 108,Infrastructure,56,CRITICAL,0.9275,4,239.02499999999998,"Under Investigation, High Data Sensitivity"
VND-0221,Prime Solutions 221,Data Analytics,74,CRITICAL,0.805,4,238.95000000000002,"Missing SOC2, Missing ISO27001, Recent Breach, High Data Sensitivity"
VND-0260,Prime Networks 260,Payment Processing,63,CRITICAL,0.8710144927536231,4,238.73043478260868,Under Investigation
VND-0247,Nova Partners 247,Payment Processing,63,CRITICAL,0.8588682662482815,4,238.36604798744844,Under Investigation
VND-0033,Secure Cloud 33,Payment Processing,48,CRITICAL,0.9454425182481753,4,237.96327554744525,"Under Investigation, High Data Sensitivity"
VND-0006,Secure Partners 6,Software,63,CRITICAL,0.8419690258994954,4,237.85907077698485,"Under Investigation, Missing SOC2, Missing ISO27001"
VND-0376,Blue Analytics 376,Infrastructure,58,CRITICAL,0.845,4,236.95,"Under Investigation, Expired Certifications"
VND-0337,Quantum Systems 337,Security,53,CRITICAL,0.8520109846972186,4,236.16032954091656,"Under Investigation, Active Access After Contract Expiry, Missing SOC2"
VND-0273,Blue Solutions 273,Cloud Services,80,CRITICAL,0.655,4,235.65,Under Investigation
VND-0379,Titan Analytics 379,Software,68,CRITICAL,0.713879781420765,4,235.01639344262296,"Under Investigation, Active Access After Contract Expiry, Missing ISO27001, High Data Sensitivity"
VND-0367,Quantum Analytics 367,Payment Processing,36,CRITICAL,0.9231334068565529,4,234.89400220569658,"Under Investigation, Missing SOC2, Missing ISO27001"
VND-0075,Quantum Networks 75,Data Analytics,36,CRITICAL,0.9075,4,234.42499999999998,"Under Investigation, Missing SOC2, Missing ISO27001, High Data Sensitivity"
VND-0346,Apex Analytics 346,Consulting,35,CRITICAL,0.9084547154298818,4,234.25364146289644,Under Investigation
VND-0206,Apex Services 206,Cloud Services,67,CRITICAL,0.69,4,234.1,"Under Investigation, Active Access After Contract Expiry, Missing SOC2, Missing ISO27001, High Data Sensitivity"
VND-0077,Blue Cloud 77,Security,61,CRITICAL,0.7275,4,234.02499999999998,"Missing SOC2, Expired Certifications, High Data Sensitivity"
VND-0051,Apex Services 51,Payment Processing,55,CRITICAL,0.7583836062546392,4,233.75150818763916,High Data Sensitivity
VND-0064,Nova Networks 64,Data Analytics,52,CRITICAL,0.7695638297872341,4,233.48691489361704,"Missing SOC2, Missing ISO27001, Recent Breach, High Data Sensitivity"
VND-0143,Quantum Solutions 143,Infrastructure,39,CRITICAL,0.856222570783191,4,233.48667712349575,"Under Investigation, Missing SOC2, Missing ISO27001"
VND-0092,Quantum Solutions 92,Infrastructure,48,CRITICAL,0.7845638576429843,4,233.1369157292895,"Active Access After Contract Expiry, Recent Breach, High Data Sensitivity"
VND-0195,Vertex Cloud 195,Infrastructure,39,CRITICAL,0.84,4,233.0,"Under Investigation, Expired Certifications"
VND-0156,Blue Solutions 156,Consulting,68,CRITICAL,0.6438364328252695,4,232.91509298475808,"Under Investigation, Missing SOC2, Missing ISO27001"
VND-0185,Nova Networks 185,Consulting,32,CRITICAL,0.8790748579624738,4,232.7722457388742,"Under Investigation, Active Access After Contract Expiry, Missing SOC2"
VND-0085,Prime Networks 85,Infrastructure,59,CRITICAL,0.6925,4,232.57500000000002,"Under Investigation, Missing ISO27001, Expired Certifications"
VND-0332,Nova Labs 332,Consulting,69,CRITICAL,0.6192257193317161,4,232.37677157995148,"Under Investigation, Active Access After Contract Expiry, Missing ISO27001"
VND-0173,Titan Networks 173,Consulting,32,CRITICAL,0.8615825347886453,4,232.24747604365936,"Under Investigation, Active Access After Contract Expiry"
VND-0216,Vertex Partners 216,Security,37,CRITICAL,0.8088797814207651,4,231.66639344262296,"Recent Breach, High Data Sensitivity"
VND-0209,Quantum Labs 209,Cloud Services,35,CRITICAL,0.8132873700724721,4,231.39862110217416,"Under Investigation, Active Access After Contract Expiry, Missing SOC2"
VND-0055,Blue Cloud 55,Compliance,46,CRITICAL,0.7181386603838482,4,230.74415981151543,"Active Access After Contract Expiry, Missing ISO27001, High Data Sensitivity"
VND-0171,Secure Labs 171,Consulting,63,CRITICAL,0.6046385194137285,4,230.73915558241185,"Under Investigation, Active Access After Contract Expiry, Missing ISO27001"
VND-0382,Nova Services 382,Compliance,20,CRITICAL,0.8663364328252695,4,229.9900929847581,"Under Investigation, Missing SOC2, Missing ISO27001"
VND-0058,Blue Networks 58,Payment Processing,38,CRITICAL,0.7325,4,229.575,"Under Investigation, Active Access After Contract Expiry, Missing SOC2, Expired Certifications, High Data Sensitivity"
VND-0157,Apex Networks 157,Security,21,CRITICAL,0.8279021673539174,4,229.03706502061752,"Under Investigation, Missing ISO27001, Expired Certifications"
VND-0014,Titan Systems 14,Cloud Services,29,CRITICAL,0.765,4,228.75,"Expired Certifications, High Data Sensitivity"
VND-0100,Titan Cloud 100,Compliance,28,CRITICAL,0.7625,4,228.475,"Expired Certifications, High Data Sensitivity"
VND-0110,Nova Networks 110,Security,66,CRITICAL,0.4025,4,225.27499999999998,"Missing SOC2, Expired Certifications, High Data Sensitivity"
VND-0199,Secure Labs 199,Compliance,93,HIGH,0.9454047731888964,3,196.9621431956669,"High Risk Score, Active Access After Contract Expiry, Missing ISO27001, Expired Certifications, High Data Sensitivity"
VND-0154,Apex Systems 154,Consulting,93,HIGH,0.9295130970035153,3,196.48539291010545,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0378,Blue Networks 378,Cloud Services,92,HIGH,0.9352902275493125,3,196.45870682647939,"High Risk Score, Missing SOC2, Missing ISO27001, High Data Sensitivity"
VND-0373,Secure Systems 373,Compliance,91,HIGH,0.9387796129811111,3,196.3633883894333,"High Risk Score, Missing SOC2"
VND-0053,Titan Networks 53,Cloud Services,92,HIGH,0.9243306060393133,3,196.12991818117942,"High Risk Score, Active Access After Contract Expiry, Missing ISO27001"
VND-0368,Prime Cloud 368,Software,93,HIGH,0.9138246366400621,3,196.01473909920185,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0079,Titan Services 79,Payment Processing,93,HIGH,0.9094184626529613,3,195.88255387958884,High Risk Score
VND-0388,Quantum Systems 388,Cloud Services,88,HIGH,0.9423850133138844,3,195.87155039941652,"High Risk Score, Missing ISO27001"
VND-0190,Vertex Cloud 190,Infrastructure,94,HIGH,0.895899125177647,3,195.6769737553294,"High Risk Score, Active Access After Contract Expiry, Missing SOC2, Expired Certifications"
VND-0347,Secure Cloud 347,Security,95,HIGH,0.8848645484949833,3,195.5459364548495,"High Risk Score, Expired Certifications, High Data Sensitivity"
VND-0124,Quantum Systems 124,Security,89,HIGH,0.9226108320251177,3,195.47832496075355,"High Risk Score, Active Access After Contract Expiry, Expired Certifications, High Data Sensitivity"
VND-0231,Prime Systems 231,Infrastructure,91,HIGH,0.9079298717676966,3,195.4378961530309,"High Risk Score, High Data Sensitivity"
VND-0049,Titan Labs 49,Cloud Services,94,HIGH,0.8853301658435523,3,195.3599049753066,"High Risk Score, Active Access After Contract Expiry, Missing ISO27001"
